NAME        H      Alb  Rad  Porb
Phobos     11.8   0.07    11.08   7.653843687
Deimos     12.89  0.08     6.2   30.29857807
Io         -1.68  0.63  1821.49  42.4530719
Europa     -1.41  0.67  1560.8   85.22834590
Ganymede   -2.09  0.43  2631.2  171.7092749
Callisto   -1.05  0.17  2410.3  400.5364314
Janus       4.9   0.5     89.2    0.7000394386551769
Epimetheus  6.1   0.5     58.2    0.7004004704802892
Mimas       3.3   0.5    198.2   22.61812344
Enceladus   2.1   1.0    252.1   32.88523401
Tethys      0.6   0.8    531.0   34.30726146
Dione       0.8   0.6    561.4   65.68597326
Rhea        0.1   0.6    763.5  108.4200630
Titan      -1.28  0.2   2575.   382.6907418
Iapetus     1.5   0.2    734.3 1903.940390
Ariel       1.45  0.39   578.9  -60.4890929200618
Umbriel     2.10  0.21   584.7  -99.46022991
Titania     1.02  0.27   788.9 -208.9407710
Oberon      1.23  0.23   761.4  323.1175675
Miranda     3.6   0.32   235.8  -33.92340158
Triton     -1.24  0.756 1352.6 -141.049138602813936
